PBO Station Position Time Series. Reference Frame : Unknown										
Format Version: 1.1.0										
4-character ID: P14P										
Station name  : P14P_GPS        										
First Epoch   : 20100101 115900										
Last Epoch    : 20190907 115900										
Release Date  : 20200121 081140										
NEU Reference position :    -0.9055214917  119.8367143000  137.04220 (Unknown/WGS84)										
Start Field Description										
YYYYMMDD      Year, month, day for the given position epoch										
dN            Difference in North component from NEU reference position, meters										
dE            Difference in East component from NEU reference position, meters										
du            Difference in vertical component from NEU reference position, meters										
Sn            Standard deviation of dN, meters										
Se            Standard deviation of dE, meters										
Su            Standard deviation of dU, meters										
Rne           Correlation of dN and dE										
Rnu           Correlation of dN and dU										
Reu           Correlation of dEand dU										
"Soln          ""rapid"", ""final"", ""suppl/suppf"", ""campd"", or ""repro"" corresponding to products  generated with rapid or final orbit products, in supplemental processing, campaign data processing or reprocessing"										
End Field Description										
*YYYYMMDD	dN	dE	dU	Sn	Se	Su	Rne	Rnu	Reu	Soln
20190323	-106.953	0.58165	-0.31770	0.00270	0.00384	0.01019	-0.034	-0.029	-0.082	daily
20190324	-107.230	0.58239	-0.31466	0.00275	0.00344	0.01018	-0.006	-0.009	-0.070	daily
20190325	-107.143	0.57823	-0.30398	0.00273	0.00365	0.01036	-0.003	-0.027	-0.060	daily
20190326	-107.197	0.58495	-0.30148	0.00286	0.00368	0.01039	-0.065	-0.006	-0.047	daily
20190327	-107.242	0.57715	-0.32082	0.00268	0.00398	0.00959	-0.035	-0.041	0.036	daily
20190328	-107.371	0.58157	-0.29950	0.00296	0.00392	0.01128	-0.025	-0.004	-0.062	daily
20190329	-106.896	0.58219	-0.29945	0.00319	0.00385	0.01039	-0.048	-0.045	-0.106	daily
20190330	-107.428	0.58209	-0.31419	0.00310	0.00399	0.00963	-0.063	-0.092	-0.111	daily
20190331	-107.309	0.58156	-0.30515	0.00314	0.00475	0.01064	-0.095	-0.064	0.026	daily
20190401	-107.051	0.58439	-0.31837	0.00274	0.00379	0.01017	-0.048	-0.062	-0.099	daily
20190402	-106.904	0.58065	-0.30568	0.00289	0.00387	0.01059	-0.021	-0.052	-0.103	daily
20190403	-107.069	0.58052	-0.30308	0.00260	0.00380	0.00912	-0.102	-0.015	-0.009	daily
20190404	-107.159	0.58209	-0.31053	0.00256	0.00401	0.00950	-0.046	-0.045	0.023	daily
20190405	-107.071	0.58297	-0.30120	0.00260	0.00375	0.00900	-0.051	-0.028	0.051	daily
20190406	-107.404	0.58182	-0.30399	0.00272	0.00394	0.00957	0.002	-0.022	-0.076	daily
20190407	-107.131	0.57866	-0.32008	0.00255	0.00383	0.00920	-0.093	0.027	-0.043	daily
20190408	-107.215	0.58485	-0.31085	0.00236	0.00339	0.00905	-0.047	0.029	-0.019	daily
20190409	-107.463	0.58419	-0.32031	0.00246	0.00397	0.00937	-0.062	0.058	-0.135	daily
20190410	-107.216	0.58286	-0.30627	0.00279	0.00353	0.01086	-0.042	0.008	-0.009	daily
20190411	-107.450	0.58223	-0.31512	0.00278	0.00364	0.01075	-0.074	0.023	-0.045	daily
20190412	-107.008	0.58351	-0.31984	0.00253	0.00362	0.00984	-0.071	0.042	-0.132	daily
20190413	-107.350	0.58509	-0.31532	0.00262	0.00358	0.00992	-0.101	0.017	-0.092	daily
20190414	-107.095	0.58381	-0.30786	0.00284	0.00381	0.01094	-0.112	0.080	-0.112	daily
20190415	-107.879	0.58842	-0.31044	0.00264	0.00365	0.01011	-0.087	0.054	-0.094	daily
20190416	-107.340	0.58235	-0.31389	0.00286	0.00377	0.01126	-0.082	0.009	-0.005	daily
20190417	-107.469	0.58507	-0.32746	0.00322	0.00479	0.01318	-0.142	0.053	-0.134	daily
20190418	-107.562	0.58430	-0.31761	0.00286	0.00378	0.01109	-0.128	0.011	-0.121	daily
